,Single,Artist,Released,Certified units (in million)
0,"""Heat Waves""",Glass Animals,2020,"24.95 Australia: 1,610,000[20] Austria: 150,000[44] Brazil: 480,000[21] Canada: 800,000[22] Denmark: 270,000[23] France: 333,333[37] Germany: 1,000,000[35] India: 6,120,000[54] Italy: 400,000[25] New Zealand: 240,000[27] Poland: 250,000[47] Portugal: 60,000[28] Spain: 120,000[29] Switzerland: 120,000[48] UK: 3,000,000[30] US: 10,000,000[31]"
1,"""Save Your Tears""",The Weeknd,2020,"19.24 Australia: 1,120,000[20] Austria: 90,000[44] Belgium: 40,000[42] Brazil: 960,000[21] Canada: 800,000[22] Denmark: 360,000[23] France: 333,333[37] Germany: 800,000[35] Italy: 500,000[25] New Zealand: 360,000[27] Norway: 240,000[43] Poland: 250,000[47] Portugal: 90,000[28] Spain: 300,000[29] UK: 3,000,000[30] US: 10,000,000[31]"
2,"""Stay""",The Kid Laroi and Justin Bieber,2021,"17.79 Australia: 1,190,000[20] Austria: 60,000[44] Belgium: 80,000[42] Brazil: 480,000[21] Canada: 800,000[22] Denmark: 360,000[23] France: 333,333[37] Germany: 200,000[35] Italy: 400,000[25] Mexico: 210,000[36] New Zealand: 210,000[27] Norway: 120,000[43] Poland: 200,000[47] Portugal: 50,000[28] Spain: 240,000[29] Switzerland: 60,000[48] UK: 1,800,000[30] US: 11,000,000[31]"
3,"""Flowers""",Miley Cyrus,2023,"17.03 Australia: 700,000[20] Austria: 150,000[44] Belgium: 120,000[42] Brazil: 800,000[21] Canada: 800,000[22] Denmark: 270,000[23] France: 333,333[37] Germany: 900,000[35] Hungary: 44,000[53] Italy: 400,000[25] Mexico: 2,100,000[36] New Zealand: 180,000[27] Poland: 250,000[47] Portugal: 60,000[28] Spain: 420,000[29] Switzerland: 100,000[48] UK: 2,400,000[30] US: 7,000,000[31]"
4,"""As It Was""",Harry Styles,2022,"16.18 Australia: 840,000[20] Austria: 60,000[44] Brazil: 1,600,000[21] Canada: 640,000[22] Denmark: 180,000[23] France: 333,333[37] Germany: 600,000[35] Hungary: 32,000[53] Italy: 500,000[25] Mexico: 1,470,000[36] New Zealand: 150,000[27] Poland: 250,000[47] Portugal: 80,000[28] Spain: 360,000[29] Switzerland: 80,000[48] UK: 3,000,000[30] US: 6,000,000[31]"
5,"""Levitating""",Dua Lipa,2020,"16.12 Australia: 560,000[20] Austria: 90,000[44] Belgium: 20,000[42] Brazil: 160,000[21] Canada: 800,000[22] Denmark: 270,000[23] France: 333,333[37] Germany: 400,000[35] Italy: 300,000[25] New Zealand: 270,000[27] Norway: 120,000[43] Poland: 250,000[47] Portugal: 30,000[28] Spain: 120,000[29] UK: 2,400,000[30] US: 10,000,000[31]"
6,"""Lose Control""",Teddy Swims,2023,"15.78 Australia: 490,000[20] Austria: 60,000[44] Belgium: 40,000[42] Canada: 800,000[22] Denmark: 180,000[23] France: 333,333[37] Germany: 300,000[35] Italy: 100,000[25] Netherlands: 232,500[39] New Zealand: 270,000[27] Poland: 225,000[47] Portugal: 70,000[28] Spain: 180,000[29] Switzerland: 100,000[48] UK: 2,400,000[30] US: 10,000,000[31]"
7,"""Beautiful Things""",Benson Boone,2024,"14.84 Australia: 840,000[20] Austria: 90,000[44] Belgium: 120,000[42] Canada: 800,000[22] Denmark: 180,000[23] France: 333,333[37] Germany: 600,000[35] Italy: 200,000[25] Mexico: 350,000[36] Netherlands: 93,000[39] New Zealand: 210,000[27] Poland: 250,000[47] Portugal: 70,000[28] Spain: 180,000[29] Switzerland: 120,000[48] UK: 2,400,000[30] US: 8,000,000[31]"
8,"""Something in the Orange""",Zach Bryan,2022,"14.82 Australia: 560,000[20] Canada: 800,000[22] Denmark: 45,000[23] New Zealand: 210,000[27] UK: 1,200,000[30] US: 12,000,000[31]"
9,"""Good 4 U""",Olivia Rodrigo,2021,"14.45 Australia: 770,000[20] Brazil: 800,000[21] Canada: 800,000[22] Denmark: 180,000[23] France: 333,333[37] Germany: 600,000[35] Italy: 70,000[25] Mexico: 980,000[36] New Zealand: 150,000[27] Norway: 120,000[43] Poland: 100,000[47] Portugal: 30,000[28] Spain: 120,000[29] UK: 2,400,000[30] US: 7,000,000[31]"
